C,R
I am a writer/artist.,
I am a writer/blogger.,
I am a yoga enthusiast.,
"I am a yoga practitioner, science lover, and vegan.",
I am a yogi.,
I am a young adult.,
I am a young person.,
I am a youth advocate.,
I am adventurous.,
I am agender.,
I am allergic to dairy.,
I am always willing to learn.,
I am ambitious.,
I am an 18-year-old.,
I am an African American,
I am an African American.,
I am an African-American,
I am an African-American.,
I am an American,
I am an American (or nationality).,
I am an American Citizen.,
I am an American citizen.,
I am an American or a citizen of a particular country.,
I am an American or a citizen of a particular nation.,
I am an American.,
I am an American/Canadian/British/etc.,
I am an American/Canadian/Chinese/etc.,
I am an American/Canadian/Mexican (or any other nationality).,
I am an American/Canadian/Mexican etc.,
I am an American/Chinese/Japanese/etc.,
I am an American/Mexican/Canadian/Australian/etc.,
I am an American/[insert nationality].,
I am an American/citizen of a particular country.,
I am an Artist.,
I am an Asian,
I am an Asian-American.,
I am an Asian.,
I am an Athlete.,
,I am an Aunt.
I am an Engineer.,
I am an Environmentalist.,
I am an Hispanic.,
I am an IT Professional.,
I am an LGBTQ+ ally,
I am an LGBTQ+ individual.,
I am an LGBTQ+ person.,
I am an X-Box player.,
I am an abstract painter.,
I am an accomplished ____.,
I am an accountant,
I am an accountant.,
I am an active athlete.,
I am an active learner who loves travelling.,
I am an active listener.,
I am an active member of a church.,
I am an active member of a religious community.,
I am an active participant in my community.,
I am an active participant in politics,
I am an activist,
I am an activist or advocate.,
I am an activist.,
I am an admirer of ____.,
I am an adult,
I am an adult.,
I am an adventurer.,
I am an advocate,
I am an advocate for ____.,
I am an advocate for _____.,
I am an advocate for a cause.,
I am an advocate for a certain cause/ideology.,
I am an advocate for a specific cause.,
I am an advocate for certain causes.,
I am an advocate for community growth.,
I am an advocate for justice.,
I am an advocate for political or social change.,
I am an advocate for social causes.,
I am an advocate for social justice.,
I am an advocate for the cause I believe in.,
I am an advocate.,
I am an age.,
I am an aging baby boomer.,
I am an alcoholic.,
I am an ally,
I am an alumna/alumnus of a certain university.,
I am an amateur athlete.,
I am an amateur chef.,
I am an amateur cook.,
I am an amateur musician.,
I am an amateur photographer.,
I am an amateur runner,
I am an analytical problem-solver.,
I am an animal lover,
I am an animal lover.,
I am an animal rights activist.,
I am an animal rights advocate,
I am an army veteran.,
I am an art enthusiast who appreciates creativity.,
I am an artist,
I am an artist and/or a writer.,
I am an artist of a particular craft.,
I am an artist or musician.,
"I am an artist, entrepreneur, and outdoors enthusiast.",
"I am an artist, writer, or musician.",
I am an artist.,
I am an artist/actor/musician/writer,
I am an artist/athlete/businessman/musician/writer.,
I am an artist/athlete/writer/musician,
I am an artist/creator.,
I am an artist/musician.,
I am an artist/musician/athlete (or any other occupation).,
I am an artist/musician/athlete/professional.,
I am an artist/musician/writer.,
I am an artist/musician/writer/etc.,
I am an artist/musician/writer/other creative practice.,
I am an artist/scientist/engineer.,
I am an aspiring entrepreneur.,
I am an aspiring musician,
I am an atheist,
I am an atheist.,
I am an athlete,
"I am an athlete, artist, musician, or writer.",
"I am an athlete, writer, and traveler.",
I am an athlete.,
I am an athlete/artist.,
I am an athlete/artist/musician/writer/etc.,
I am an athlete/financier/entrepreneur,
I am an athlete/gym goer.,
,I am an aunt
,I am an aunt or uncle
,I am an aunt or uncle.
,I am an aunt.
,I am an aunt/uncle
,I am an aunt/uncle.
I am an author,
I am an author.,
I am an average American.,
I am an average person,
I am an average person.,
I am an average sized man.,
I am an avid novel reader.,
I am an avid reader,
I am an avid reader.,
I am an avid sports fan.,
I am an avid supporter of _____.,
I am an early bird.,
I am an earthling.,
I am an educated adult.,
I am an educated professional.,
I am an educated/uneducated person.,
I am an educator.,
I am an educator/student,
,I am an elder.
,I am an eldest child.
I am an employed individual.,
I am an employee,
I am an employee at a specific company.,
I am an employee in a certain job role.,
I am an employee of a certain company.,
I am an employee of a particular company.,
I am an employee or employer.,
I am an employee.,
I am an employee/employer.,
I am an employee/employer/self employed.,
I am an employee/entrepreneur.,
I am an employer,
I am an employer.,
I am an engineer,
I am an engineer.,
I am an enthusiast.,
I am an enthusiastic reader.,
I am an enthusiastic supporter of my team.,
I am an entrepreneur,
"I am an entrepreneur, life advisor, and gardener.",
I am an entrepreneur.,
I am an environmental activist.,
I am an environmental advocate.,
I am an environmentalist,
I am an environmentalist.,
I am an ethnic group member,
I am an ethnic minority.,
I am an ethnic or national minority.,
I am an ethnic/racial/cultural identity.,
I am an experienced professional.,
I am an explorer.,
I am an extrovert,
I am an extrovert.,
I am an female.,
I am an immigrant.,
I am an independent and open-minded individual.,
I am an independent individual,
I am an independent thinker,
I am an independent thinker.,
I am an individual,
I am an individual of an African ethnic background.,
I am an individual with certain values.,
I am an individual with unique cultural perspectives.,
"I am an individual with unique talents, abilities, and gifts.",
"I am an individual with unique talents, skills and abilities.",
"I am an individual with unique talents, values, beliefs and opinions",
I am an individual.,
I am an inhabitant of _____.,
I am an innovator.,
I am an intellectual.,
I am an introspective artist.,
I am an introvert,
I am an introvert or extrovert.,
I am an introvert.,
I am an introvert/extrovert.,
I am an introvert/extrovert/ambivert.,
I am an investor in certain companies/ventures/properties.,
I am an occupation.,
,I am an older sister.
,I am an only child.
I am an optimist with a healthy lifestyle.,
I am an optimist.,
I am an optimist/pessimist/realist.,
I am an organized planner.,
I am an organizer.,
I am an ornithologist,
I am an outdoor enthusiast,
I am an outdoor enthusiast.,
I am an outdoors enthusiast.,
I am an outdoors-lover.,
I am an outdoorsman.,
,I am an uncle.
,I am an uncle/aunt
,I am an uncle/aunt.
I am an undergraduate.,
I am an vegan.,
I am art enthusiast/sports enthusiast.,
I am artist.,
I am artistic.,
I am atheist,
I am athletic.,
I am athletically inclined.,
I am bilingual.,
I am biologist.,
I am bisexual,
I am bisexual.,
I am bisexual/gay/straight/lesbian.,
I am black,
I am black.,
I am blunt.,
,I am brother.
I am cisgender.,
I am college student,
I am college-educated.,
I am comfortable with being uncomfortable.,
I am committed to improving my community,
I am compassionate.,
I am confident.,
I am conservative,
I am courteous.,
I am creative.,
I am curious.,
,I am daughter.
I am dedicated to a particular religious faith.,
I am diligent.,
I am disabled.,
"I am educated, constantly learning and growing",
I am educated.,
I am emotionally and spiritually intelligent.,
I am empathetic,
I am empathetic and compassionate,
I am employed in a certain profession.,
I am employed in a specific profession or field.,
I am employed.,
I am every religion.,
I am extroverted,
I am extroverted.,
I am extroverted/introverted.,
I am extroverted/introverted/nerdy.,
I am female,
I am female.,
I am financially independent.,
I am five feet tall.,
I am fluent in Spanish.,
,I am friend.
I am friendly.,
I am from Michigan.,
I am from South Carolina.,
I am from Texas.,
I am from a certain city.,
I am from a certain city/town/country.,
I am from a certain country or region.,
I am from a certain country.,
,I am from a certain family.
I am from a certain region.,
I am from a particular country.,
I am from a particular cultural background.,
I am from a particular cultural or ethnic background.,
I am from a particular culture,
I am from a specific geography or culture.,
I am from a specific state in the U.S.,
I am from the Midwest,
I am from the Midwest.,
I am from the U.S.,
I am from the United States.,
I am from the United States/England/Canada.,
I am from the city/suburbs.,
I am from the state of Georgia.,
I am funny.,
I am gay,
I am gay.,
I am gay/straight/bisexual.,
I am gender-fluid.,
I am goal-oriented.,
I am hard-working.,
I am heterosexual,
I am heterosexual or homosexual.,
I am heterosexual.,
I am heterosexual/homosexual/bisexual/asexual/pansexual,
I am high school educated.,
I am homosexual.,
I am honest.,
I am humorous.,
I am in a particular age/social demographic.,
I am in college.,
I am independent.,
I am inquisitive.,
I am intelligent.,
I am into sports.,
I am intuitive.,
I am involved in a particular hobby.,
I am kind.,
I am left-handed,
I am left-handed.,
I am left-handed/right-handed.,
I am lesbian.,
I am liberal,
I am liberal.,
I am living in a certain region or town.,
I am loyal,
I am loyal.,
I am male,
I am male or female.,
I am male.,
I am male/female.,
I am male/female/non-binary,
I am male/female/nonbinary/other.,
I am married,
I am married or single.,
I am married.,
I am married/single,
I am married/single.,
I am mid-thirties,
I am musical.,
I am my age,
I am my age.,
I am my background.,
I am my beliefs or political views.,
I am my beliefs.,
I am my cultural or national background.,
I am my educational background.,
I am my ethnicity.,
I am my family history.,
,I am my family member.
"I am my gender identity (male, female, etc.)",
I am my gender identity.,
I am my gender.,
I am my hair color.,
"I am my height, ethnicity, and gender.",
I am my height.,
I am my hobbies and interests.,
I am my hobbies or interests.,
I am my interests.,
I am my job title and occupation.,
I am my linguistic abilities and dialect,
I am my marital status.,
I am my musical taste.,
I am my name.,
I am my nationality,
I am my nationality.,
I am my native language.,
I am my occupation,
I am my occupation.,
"I am my own person, with my own thoughts and ideas.",
I am my own person.,
I am my own unique self.,
,I am my parent’s son or daughter.
I am my personal tastes.,
I am my personality.,
I am my political and religious views,
I am my political preference.,
I am my political views.,
I am my preferences.,
I am my profession.,
I am my race,
I am my race or ethnicity.,
I am my race.,
I am my race/ethnicity.,
I am my religion or belief system.,
I am my religion.,
I am my religion/spiritual belief system.,
I am my sense of humor,
I am my sexual orientation.,
I am my shoe size.,
I am my style and clothing,
I am my values and beliefs.,
I am my values and principles.,
I am non-binary,
I am of African descent.,
I am of Asian descent.,
I am of Hispanic descent.,
I am of Italian descent.,
I am of a certain ethnicity or race.,
I am of a certain faith,
I am of a certain faith or spiritual belief.,
I am of a certain nationality,
I am of a certain political party or ideology.,
I am of a certain political persuasion,
I am of a certain race.,
I am of a certain race/ethnicity,
I am of a certain religion.,
I am of a certain religion/no religion,
I am of a certain religious faith.,
I am of a particular gender,
I am of a particular gender.,
I am of a particular race or ethnicity.,
I am of a particular race.,
I am of a particular religious belief.,
I am of a particular religious faith.,
I am of a particular social class or economic status.,
I am of a specific ethnic or racial background.,
I am old,
I am old.,
I am older,
I am open minded.,
I am open to life’s challenges and new experiences,
I am open-minded.,
I am optimistic.,
I am organized.,
I am outgoing and friendly.,
I am outgoing.,
I am pansexual.,
I am part of a certain community.,
I am part of a certain political belief or ideology.,
I am part of a certain race or ethnicity.,
I am part of a certain religion or spiritual practice.,
I am part of a religious belief system.,
I am part of a social movement.,
I am passionate about environmental issues,
I am passionate about environmentalism.,
I am passionate about learning.,
I am passionate.,
I am philosophical.,
I am political.,
I am politically active.,
I am politically conservative.,
I am politically independent.,
I am politically progressive.,
I am professional.,
I am proud to be a parent.,
I am reliable.,
I am religious,
I am religious or spiritual.,
I am religious.,
I am religious/non-religious.,
I am religious/spiritual.,
I am retired.,
I am right-handed.,
I am scientific.,
I am self-employed.,
I am selfless.,
I am sensible.,
I am sensitive to my environment and the issues around me.,
I am short,
I am shy,
I am single,
"I am single, married, divorced, or widowed.",
I am single.,
,I am sister.
I am skilled in a certain profession.,
I am socially active.,
I am someone who frequently volunteers in my community.,
I am someone who loves animals.,
I am someone who loves learning,
I am someone who values family.,
,I am son.
I am spiritual,
I am spiritual.,
I am straight,
I am straight.,
I am strong-willed.,
I am student.,
I am tall,
I am tall.,
I am tall/short.,
I am teacher.,
I am tech savvy/not tech savvy.,
,I am the daughter of two doctors.
,I am the middle child.
,I am the oldest child in my family.
,I am the oldest of three children.
,"I am the oldest, youngest, or only child in my family."
,I am the proud parent of two.
,I am the son of a single mother.
I am thoughtful.,
I am transgender,
I am transgender.,
I am vegan.,
I am vegetarian.,
I am where I was born.,
I am white,
I am white.,
I am young,
I am young.,
I am young/middle-aged/elderly.,
I am younger,
